Feature,Importance
Ingresos mensuales,0.0915018712603209
Edad,0.07936930997439628
Tiempos de capacitación,0.0783864852200372
Porcentaje de aumento salarial,0.05893935674676756
Tarifa diaria,0.054296607868579407
Distancia desde casa,0.04706739742354331
Tarifa por hora,0.046000908949576036
Tarifa mensual,0.04501276651244161
Años con el gerente actual,0.04168228766559826
Años en la empresa,0.03976119969810429
Núm. de empresas trabajadas,0.0387938244246694
Rol del puesto,0.036170479376674475
Total de años trabajados,0.030652924538692696
Calificación del rendimiento,0.02940785668081458
Satisfacción con el entorno,0.029313683591736615
Participación en el trabajo,0.027818228829919012
Estado civil,0.026723540826894734
Balance de vida laboral,0.026318559004385157
Años desde el último ascenso,0.02417865518358943
Años en el puesto actual,0.023940396893117746
Año anterior,0.021780158904376946
Nivel del puesto,0.020382581141132512
Satisfacción laboral,0.018789658373427994
Campo educativo,0.01735669546381197
Educación,0.013757832083244437
Departamento,0.011440332549208725
Viajes de negocios,0.010261502460412329
Género,0.007338268223172778
Satisfacción de la relación,0.0035566301313535802
Nivel de opción de acciones,0.0
